# REFERENCE VALUE:
# mach: 0.5
# Sref = 26.56
# Cref = 2.65
# PInf = 57181.965   
# rhoInf = 0.7708
# betaDeg  = 0
# absVelocity = 161.12
# aInf = 322.239;
# muInf  = 3.43e-7
#
# STABILITY DERIVATIVE
# aoa	cl_alpha	cm_alpha
-3.00	3.6379104	0.72117
-2.00	3.6353457	0.62040
-1.00	3.6346495	0.52289
0.00	3.6160643	0.43064
1.00	3.6276001	0.30468
2.00	3.6055524	0.20041
3.00	3.5906538	0.09387
4.00	3.5361274	0.05747
5.00	3.5394512	-0.11470
6.00	3.508811	-0.20013
7.00	3.4707517	-0.30270
8.00	3.4448306	-0.39952
9.00	3.4080377	-0.49717
10.00	3.3702167	-0.59656
