# Chordwise load of component: wing_left
# spanwise_location: -.239 ; chord_length: 0.529
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.870441397056144E+000  0.861386374149259E+000  0.843499271294351E+000  0.817216046359962E+000  0.783149764328448E+000  0.742108355638019E+000  0.695101760693351E+000  0.643288047164061E+000  0.587935220161035E+000  0.530389554624608E+000  0.472063778863639E+000  0.414417429788128E+000  0.358906539390424E+000  0.306926553758862E+000  0.259778998760267E+000  0.218653340147465E+000  0.184595847107115E+000  0.158812615215566E+000  0.143601457621712E+000  0.138584547876616E+000  0.138584510089919E+000  0.143601331543792E+000  0.158812428241180E+000  0.184595653336300E+000  0.218653154982543E+000  0.259778824739134E+000  0.306926392867067E+000  0.358906393130373E+000  0.414417299243586E+000  0.472063664719590E+000  0.530389457131175E+000  0.587935139101220E+000  0.643287981884788E+000  0.695101710165732E+000  0.742108318491032E+000  0.783149738869056E+000  0.817216030598300E+000  0.843499263001587E+000  0.861386370932957E+000  0.870441396409701E+000
 -0.298062248970581E-003 -0.148273352211233E-002 -0.382273921615563E-002 -0.722561379241754E-002 -0.113256417069256E-001 -0.157378109069370E-001 -0.202987637212817E-001 -0.248555671281800E-001 -0.291412006537958E-001 -0.326862181043383E-001 -0.349799722606736E-001 -0.357588231850577E-001 -0.351163612087635E-001 -0.333402097429814E-001 -0.306636683597433E-001 -0.271934485993119E-001 -0.230925647034814E-001 -0.176253198166008E-001 -0.940585117699618E-002 -0.223913352249902E-002  0.223892937502841E-002  0.940569928209764E-002  0.176252491635377E-001  0.230925360887276E-001  0.271934293726931E-001  0.306636559751502E-001  0.333402022876320E-001  0.351163576509351E-001  0.357588231204467E-001  0.349799751913935E-001  0.326862230302763E-001  0.291412063264988E-001  0.248555725364805E-001  0.202987683734349E-001  0.157378146766376E-001  0.113256445939668E-001  0.722561576661048E-002  0.382274030076988E-002  0.148273394284742E-002  0.298062333548014E-003
# t, Cp
  0.100000000000000E+001  0.436323250541178E+000  0.330529024371284E+000  0.194658918499490E+000  0.677820325136365E-001 -0.271921682398407E-001 -0.856820800310396E-001 -0.125698694385027E+000 -0.159506530433208E+000 -0.190092497607962E+000 -0.206703876161495E+000 -0.194482817807109E+000 -0.150391424347994E+000 -0.869721479957195E-001 -0.209224086211892E-001  0.412550077256061E-001  0.104678790956334E+000  0.145695304718371E+000  0.256346076488865E+000  0.970433843946663E+000  0.158190410556109E+001  0.680671964878946E+000 -0.899828228052942E+000 -0.120166705642391E+001 -0.806955334254081E+000 -0.628467532726821E+000 -0.585369170836854E+000 -0.578696263614305E+000 -0.594746617635852E+000 -0.616372748141190E+000 -0.621118835776728E+000 -0.595012763776652E+000 -0.542098663722434E+000 -0.478374005112936E+000 -0.415074353214555E+000 -0.350210261691082E+000 -0.273804914453089E+000 -0.170912411922257E+000 -0.469098077907018E-001  0.788625159534465E-001  0.175313932999288E+000
  0.100200000000000E+001  0.450005127685669E+000  0.358800267158849E+000  0.240235097491536E+000  0.125443093580539E+000  0.331642238481752E-001 -0.314733562211383E-001 -0.849362416674154E-001 -0.138314064660904E+000 -0.194419365474469E+000 -0.242149320478887E+000 -0.264546363874096E+000 -0.254772032117053E+000 -0.221791766659099E+000 -0.180432590039201E+000 -0.137018237881321E+000 -0.864706175544036E-001 -0.508799262014497E-001  0.595377284639914E-001  0.763892967701037E+000  0.134371312928628E+001  0.394256109380640E+000 -0.118971342904490E+001 -0.141880436719593E+001 -0.958793228361381E+000 -0.732888078000212E+000 -0.646074063523704E+000 -0.596245684316564E+000 -0.568979651166882E+000 -0.546855388592900E+000 -0.508742083220357E+000 -0.443709500112410E+000 -0.359261093835113E+000 -0.273141723130147E+000 -0.195898447870719E+000 -0.123406163352515E+000 -0.434577155503451E-001  0.609364128801377E-001  0.184804693579362E+000  0.311183139362913E+000  0.408648223615873E+000
  0.100400000000000E+001  0.432021269120349E+000  0.343430665342748E+000  0.228627693054702E+000  0.117779177050879E+000  0.292395674864959E-001 -0.321860365384406E-001 -0.829412330242522E-001 -0.134009338422538E+000 -0.188120505186881E+000 -0.234185916359101E+000 -0.255293225167207E+000 -0.244551896636081E+000 -0.210738746555340E+000 -0.168421586836068E+000 -0.123661009885203E+000 -0.710569209743537E-001 -0.313070392596050E-001  0.875438370536304E-001  0.792094455073605E+000  0.134129193022504E+001  0.349653932177894E+000 -0.125006552022586E+001 -0.146029422299833E+001 -0.984163759006325E+000 -0.751656920533290E+000 -0.661757936778995E+000 -0.610004100212264E+000 -0.581406801617001E+000 -0.558168634847682E+000 -0.518840170761824E+000 -0.452276219685657E+000 -0.365921804495990E+000 -0.277566982749892E+000 -0.197771419370917E+000 -0.122330468089177E+000 -0.389464791591930E-001  0.693602509124995E-001  0.197266423266987E+000  0.327419286907258E+000  0.427458635233540E+000
  0.100600000000000E+001  0.423496579657385E+000  0.336160671703159E+000  0.223072217482280E+000  0.113919524613236E+000  0.269137718457981E-001 -0.332363143525409E-001 -0.829088789563365E-001 -0.132999024550877E+000 -0.186181781192536E+000 -0.231380015575003E+000 -0.251722736347213E+000 -0.240315715742922E+000 -0.205855942200918E+000 -0.162783451511209E+000 -0.117018785192157E+000 -0.629807935358268E-001 -0.205609336652220E-001  0.103451256475777E+000  0.808225722609297E+000  0.133934923811743E+001  0.322857523323881E+000 -0.128576575023855E+001 -0.148432122701562E+001 -0.998333149013196E+000 -0.761663291693848E+000 -0.669698581098796E+000 -0.616583410322329E+000 -0.587000313358579E+000 -0.562944401900936E+000 -0.522804987879478E+000 -0.455343218337355E+000 -0.367997193339712E+000 -0.278597824906676E+000 -0.197714877380583E+000 -0.121088529913567E+000 -0.363377374585065E-001  0.735711147723726E-001  0.203208968166377E+000  0.335078536445196E+000  0.436352332605052E+000
  0.100800000000000E+001  0.419123680035770E+000  0.332456262306802E+000  0.220278755374737E+000  0.112027524260911E+000  0.258409877919153E-001 -0.336229779858214E-001 -0.827078759231745E-001 -0.132260824272000E+000 -0.184925940486016E+000 -0.229631938539439E+000 -0.249531605074774E+000 -0.237730399424322E+000 -0.202881197527398E+000 -0.159350057629701E+000 -0.112973864116206E+000 -0.580615418072781E-001 -0.140169322937818E-001  0.113124253248316E+000  0.817977255367306E+000  0.133799215682195E+001  0.306290349785011E+000 -0.130769948166328E+001 -0.149902696832606E+001 -0.100698311477216E+001 -0.767758788299266E+000 -0.674526748008098E+000 -0.620578866229052E+000 -0.590395891511019E+000 -0.565847743500816E+000 -0.525229375506426E+000 -0.457249358825445E+000 -0.369343235140130E+000 -0.279365012355750E+000 -0.197888936774061E+000 -0.120623528525098E+000 -0.351413889764910E-001  0.756206600413682E-001  0.206178102346252E+000  0.338959922625394E+000  0.440891750831766E+000
  0.101000000000000E+001  0.416728169894832E+000  0.330438467845461E+000  0.218774357868698E+000  0.111031247768662E+000  0.253083204408169E-001 -0.337647649325624E-001 -0.825118225988956E-001 -0.131752354877648E+000 -0.184112375618893E+000 -0.228523835686687E+000 -0.248153876653927E+000 -0.236108666477751E+000 -0.201015485420545E+000 -0.157195748932089E+000 -0.110434541184047E+000 -0.549717892825845E-001 -0.990640182287772E-002  0.119195700324223E+000  0.824076925517468E+000  0.133707098895759E+001  0.295779472403018E+000 -0.132155986816562E+001 -0.150829685719104E+001 -0.101242690700879E+001 -0.771589730185179E+000 -0.677557321218649E+000 -0.623084312558171E+000 -0.592523978336897E+000 -0.567668113983218E+000 -0.526754165557282E+000 -0.458459715792939E+000 -0.370219470057473E+000 -0.279901229808685E+000 -0.198081492904377E+000 -0.120449957939851E+000 -0.345521720800081E-001  0.766922594176196E-001  0.207768102662751E+000  0.341064429180816E+000  0.443368408751328E+000
  0.101200000000000E+001  0.415350406301946E+000  0.329283817437111E+000  0.217922471548931E+000  0.110479295307896E+000  0.250312536610509E-001 -0.338084597552900E-001 -0.823520440415183E-001 -0.131402487696858E+000 -0.183574806077445E+000 -0.227802813581748E+000 -0.247262583658594E+000 -0.235061152192371E+000 -0.199810315746186E+000 -0.155803567625297E+000 -0.108792871932449E+000 -0.529735191588096E-001 -0.724785698419891E-002  0.123120625884377E+000  0.828012069645367E+000  0.133644691148709E+001  0.288936575482275E+000 -0.133055953455884E+001 -0.151430554426820E+001 -0.101595186179094E+001 -0.774068207403879E+000 -0.679516362438904E+000 -0.624702884567844E+000 -0.593898265438092E+000 -0.568844057976075E+000 -0.527741434296489E+000 -0.459248961051805E+000 -0.370801145226883E+000 -0.280274299116102E+000 -0.198246096190860E+000 -0.120394664995510E+000 -0.342491939083625E-001  0.772810666294621E-001  0.208662996764098E+000  0.342262993231959E+000  0.444787040976778E+000
  0.101400000000000E+001  0.414527223974494E+000  0.328597280707507E+000  0.217421147666004E+000  0.110161701655978E+000  0.248828417013256E-001 -0.338122295044554E-001 -0.822286290423496E-001 -0.131159135399611E+000 -0.183211860574625E+000 -0.227321724494021E+000 -0.246670517088499E+000 -0.234366056799342E+000 -0.199010442112193E+000 -0.154879147655094E+000 -0.107702340308787E+000 -0.516456229551213E-001 -0.548105366468784E-002  0.125728338383219E+000  0.830623541573167E+000  0.133601989011568E+001  0.284368172110197E+000 -0.133655661467921E+001 -0.151830432164171E+001 -0.101829588557084E+001 -0.775715260587804E+000 -0.680817354221988E+000 -0.625777199457924E+000 -0.594810104921334E+000 -0.569624407489491E+000 -0.528397697823127E+000 -0.459776473840807E+000 -0.371195280417626E+000 -0.280535836518501E+000 -0.198376440334798E+000 -0.120387886279085E+000 -0.340891528271154E-001  0.776169282855770E-001  0.209186411080091E+000  0.342972321580800E+000  0.445631296495108E+000
  0.101600000000000E+001  0.414019329727611E+000  0.328175747190393E+000  0.217116563893449E+000  0.109973316560941E+000  0.248019746947764E-001 -0.338005234285917E-001 -0.821348448561966E-001 -0.130987262313452E+000 -0.182961424050400E+000 -0.226992922182292E+000 -0.246267303403532E+000 -0.233893030944194E+000 -0.198465939757844E+000 -0.154249542366701E+000 -0.106959272810039E+000 -0.507404736940592E-001 -0.427656668860864E-002  0.127505890240627E+000  0.832402566264170E+000  0.133572318429815E+001  0.281243418825179E+000 -0.134065286331021E+001 -0.152103273925204E+001 -0.101989418471411E+001 -0.776837660121926E+000 -0.681703364691257E+000 -0.626508438721880E+000 -0.595430481431675E+000 -0.570155296612501E+000 -0.528844717473275E+000 -0.460137350790166E+000 -0.371467857806767E+000 -0.280721485073285E+000 -0.198476862366166E+000 -0.120400000909214E+000 -0.340033197694163E-001  0.778144416070913E-001  0.209502567210132E+000  0.343405950455212E+000  0.446150282997924E+000
  0.101800000000000E+001  0.413696931691538E+000  0.327909502616268E+000  0.216926305269677E+000  0.109858688545320E+000  0.247576751582030E-001 -0.337838403949806E-001 -0.820636499045013E-001 -0.130863763777753E+000 -0.182784863339324E+000 -0.226762958131566E+000 -0.245986126316048E+000 -0.233563344870399E+000 -0.198086288496187E+000 -0.153810316949716E+000 -0.106440654917694E+000 -0.501084799982334E-001 -0.343542389266065E-002  0.128747200411432E+000  0.833644565233211E+000  0.133551331982943E+001  0.279055842995101E+000 -0.134351742921882E+001 -0.152293900046184E+001 -0.102101018706885E+001 -0.777620918013800E+000 -0.682321263856356E+000 -0.627018101700365E+000 -0.595862646629003E+000 -0.570525040427981E+000 -0.529156314222223E+000 -0.460389772561038E+000 -0.371660208685512E+000 -0.280855228574667E+000 -0.198553633674527E+000 -0.120418231598851E+000 -0.339571126183361E-001  0.779336622035418E-001  0.209699018974844E+000  0.343678768662744E+000  0.446478646736395E+000
  0.102000000000000E+001  0.413486909230836E+000  0.327736965690704E+000  0.216804460043757E+000  0.109787392556495E+000  0.247336220232817E-001 -0.337666378422715E-001 -0.820092717996258E-001 -0.130773424103176E+000 -0.182657752423422E+000 -0.226598530363467E+000 -0.245785582976386E+000 -0.233328291928634E+000 -0.197815495667611E+000 -0.153496858873976E+000 -0.106070363589769E+000 -0.496570556866894E-001 -0.283448925050353E-002  0.129634057484145E+000  0.834531856133165E+000  0.133536206800406E+001  0.277489985979280E+000 -0.134556603243570E+001 -0.152430113417933E+001 -0.102180716682470E+001 -0.778179946997027E+000 -0.682761980330794E+000 -0.627381387404283E+000 -0.596170504540300E+000 -0.570788334290922E+000 -0.529378322694561E+000 -0.460570119983149E+000 -0.371798643125072E+000 -0.280953113499539E+000 -0.198612415692268E+000 -0.120437157176306E+000 -0.339324985784927E-001  0.780072958042517E-001  0.209824271552458E+000  0.343854984784828E+000  0.446691964285975E+000
